epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.3716,1.52531,1.64158,1.30775,0.74957,0.74308,0.78058,0.4532,1.42028,1.11803,1.27267,0.00055323,0.00055323,0.00055323
2,161.719,1.4913,1.14551,1.29192,0.78727,0.74659,0.80424,0.45843,1.4724,1.0316,1.32984,0.00108694,0.00108694,0.00108694
3,238.192,1.50133,1.16781,1.30089,0.79475,0.72485,0.80229,0.47306,1.40807,1.02437,1.32147,0.00159865,0.00159865,0.00159865
4,314.613,1.47294,1.08373,1.29203,0.79187,0.74121,0.84187,0.50993,1.38487,1.01714,1.30227,0.00156798,0.00156798,0.00156798
5,391.115,1.44298,1.01951,1.2796,0.80158,0.78,0.83917,0.52071,1.35012,0.89219,1.26011,0.00153497,0.00153497,0.00153497
6,467.538,1.41698,0.9936,1.26131,0.81925,0.80392,0.86934,0.5253,1.365,0.83356,1.26935,0.00150197,0.00150197,0.00150197
7,544.227,1.37317,0.90394,1.24077,0.85473,0.79043,0.89683,0.54807,1.36311,0.80051,1.28569,0.00146896,0.00146896,0.00146896
8,620.964,1.3669,0.90356,1.23361,0.83458,0.82612,0.87552,0.53541,1.35594,0.79948,1.25779,0.00143595,0.00143595,0.00143595
9,697.5,1.32542,0.85147,1.20415,0.81204,0.83718,0.8829,0.54761,1.32798,0.7787,1.2586,0.00140295,0.00140295,0.00140295
10,774.03,1.29927,0.8288,1.19094,0.8493,0.84137,0.90021,0.55226,1.33475,0.75605,1.26879,0.00136994,0.00136994,0.00136994
11,850.878,1.28923,0.80673,1.18542,0.85465,0.85274,0.90743,0.5624,1.32125,0.75076,1.24765,0.00133693,0.00133693,0.00133693
12,927.647,1.28058,0.77918,1.17793,0.85711,0.83556,0.90859,0.56503,1.32429,0.72203,1.24631,0.00130393,0.00130393,0.00130393
13,1004.53,1.25641,0.76639,1.16767,0.85884,0.87274,0.91207,0.56663,1.33686,0.69216,1.24491,0.00127092,0.00127092,0.00127092
14,1081.44,1.23714,0.73952,1.16326,0.83762,0.8504,0.89702,0.55894,1.31851,0.7129,1.23446,0.00123791,0.00123791,0.00123791
15,1158.25,1.22649,0.73102,1.15202,0.8312,0.88574,0.92624,0.57476,1.31297,0.69714,1.23979,0.00120491,0.00120491,0.00120491
16,1234.87,1.21359,0.72597,1.15181,0.83775,0.84456,0.88344,0.54355,1.33772,0.74635,1.24698,0.0011719,0.0011719,0.0011719
17,1311.73,1.2064,0.70728,1.14209,0.86728,0.86076,0.92478,0.57389,1.31985,0.67266,1.22899,0.00113889,0.00113889,0.00113889
18,1388.68,1.1754,0.67981,1.13115,0.85216,0.82402,0.89933,0.56841,1.32575,0.73301,1.23994,0.00110589,0.00110589,0.00110589
19,1465.46,1.15638,0.66647,1.11207,0.84673,0.83945,0.89975,0.55974,1.33965,0.72452,1.25971,0.00107288,0.00107288,0.00107288
20,1542.09,1.15902,0.66604,1.11516,0.88598,0.81742,0.90547,0.56552,1.30096,0.72763,1.22752,0.00103987,0.00103987,0.00103987
21,1618.86,1.1222,0.63569,1.10193,0.8649,0.84665,0.91595,0.57122,1.33636,0.68077,1.25896,0.00100687,0.00100687,0.00100687
22,1701.1,1.12176,0.64511,1.09841,0.85726,0.85688,0.90536,0.56827,1.32494,0.68997,1.23195,0.000973861,0.000973861,0.000973861
23,1784.77,1.11189,0.61995,1.08389,0.90224,0.84228,0.93196,0.57271,1.34033,0.64224,1.25632,0.000940855,0.000940855,0.000940855
24,1868.97,1.0818,0.61862,1.07815,0.85004,0.84397,0.90252,0.56082,1.35352,0.72458,1.24804,0.000907848,0.000907848,0.000907848
25,1952.84,1.06524,0.59235,1.07019,0.83867,0.86671,0.90759,0.56051,1.32567,0.6919,1.22602,0.000874842,0.000874842,0.000874842
