epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.094,1.28801,1.30796,1.2123,0.91219,0.76547,0.86623,0.5601,1.32741,1.00695,1.30145,0.000665303,0.000665303,0.000665303
2,200.817,1.29285,0.90844,1.21804,0.87297,0.79109,0.86483,0.55716,1.28892,0.87301,1.25364,0.0013056,0.0013056,0.0013056
3,298.122,1.28242,0.86172,1.2015,0.94226,0.72146,0.79732,0.49915,1.33705,1.02022,1.27469,0.00191949,0.00191949,0.00191949
4,394.6,1.2563,0.8133,1.18451,0.93152,0.82615,0.90517,0.5935,1.22593,0.82639,1.21073,0.0018812,0.0018812,0.0018812
5,491.274,1.20953,0.76798,1.15876,0.94441,0.83911,0.90702,0.61622,1.19056,0.72549,1.1717,0.0018416,0.0018416,0.0018416
6,587.726,1.19321,0.74627,1.1578,0.9305,0.84565,0.91109,0.60689,1.20794,0.69435,1.17039,0.001802,0.001802,0.001802
7,684.748,1.16955,0.70927,1.1379,0.94909,0.87126,0.92211,0.61716,1.17606,0.70136,1.1744,0.0017624,0.0017624,0.0017624
8,781.54,1.15273,0.67832,1.12555,0.95585,0.8915,0.94237,0.63362,1.16145,0.64988,1.153,0.0017228,0.0017228,0.0017228
9,878.283,1.14065,0.67418,1.12677,0.96628,0.85863,0.92848,0.63727,1.16212,0.63456,1.14111,0.0016832,0.0016832,0.0016832
10,982.389,1.13058,0.64927,1.10493,0.96268,0.87735,0.93376,0.64557,1.10785,0.61072,1.11342,0.0016436,0.0016436,0.0016436
11,1086.61,1.11143,0.63648,1.10803,0.9496,0.8849,0.94047,0.65881,1.10973,0.59474,1.12237,0.001604,0.001604,0.001604
12,1183.54,1.09745,0.62558,1.09375,0.94535,0.90283,0.94523,0.64473,1.147,0.58241,1.14401,0.0015644,0.0015644,0.0015644
13,1280.84,1.11186,0.61811,1.10123,0.94767,0.90445,0.94763,0.66354,1.10148,0.5606,1.1083,0.0015248,0.0015248,0.0015248
14,1377.49,1.07887,0.59471,1.08703,0.94892,0.90607,0.94483,0.65963,1.09878,0.57714,1.10776,0.0014852,0.0014852,0.0014852
15,1474.36,1.07426,0.59339,1.08943,0.94107,0.90519,0.94895,0.66012,1.1015,0.56251,1.11473,0.0014456,0.0014456,0.0014456
16,1571.29,1.07551,0.57087,1.08341,0.94847,0.89426,0.94831,0.66341,1.10667,0.54399,1.12757,0.001406,0.001406,0.001406
17,1667.95,1.05152,0.56045,1.07434,0.96678,0.90283,0.94815,0.66596,1.10916,0.53674,1.10908,0.0013664,0.0013664,0.0013664
18,1764.56,1.05233,0.57031,1.07862,0.94119,0.91984,0.94705,0.67049,1.07323,0.52087,1.09549,0.0013268,0.0013268,0.0013268
